index,Category,Material,Recyclability_pct,Carbon_kgCO2,Biodegradability,Lifespan_years,Label,Variant
885,Reusable Straws,Plastic Straw,54.6,4.414,0.0,0.49,Not Sustainable,Premium
343,Disposable Cups,Paper Cup,77.5,1.477,80.3,1.92,Moderate,Coated
57,Bags,Polyester Bag,57.3,7.442,0.7,4.43,Not Sustainable,Standard
695,Crayons,Soy Crayons,26.1,0.71,95.2,1.8,Moderate,Untreated
722,Geometry Boxes,Plastic Geometry Box,46.2,3.401,1.1,3.14,Not Sustainable,Low-Grade
615,Seedling Pots,Plastic Nursery Pot,8.4,3.161,0.0,4.12,Not Sustainable,Standard
1004,Spoon,Steel Spoon,92.4,4.103,0.0,19.62,Moderate,Coated
89,Plates,Bamboo Plate,89.2,0.306,93.4,2.04,Eco-Friendly,Standard
410,Laptop Cooling Pads,Metal Cooling Stand,85.1,2.033,0.0,14.44,Moderate,Coated
802,Edible Packaging,Edible Rice Straw,21.5,5.312,0.0,2.3,Not Sustainable,Low-Grade
502,Wall Clocks,Wooden Wall Clock,86.1,0.628,89.6,6.19,Moderate,Coated
430,Belts,Leather Belt,43.4,9.997,6.7,3.27,Not Sustainable,Low-Grade
434,Belts,Leather Belt,28.4,11.356,13.9,3.31,Not Sustainable,Low-Grade
450,Belts,Leather Belt,41.5,9.266,19.3,3.28,Not Sustainable,Coated
211,Food Wraps,Beeswax Food Wrap,22.3,0.303,95.6,4.62,Moderate,Recycled
717,Crayons,Plastic Wax Crayons,54.3,4.897,0.2,2.9,Not Sustainable,Coated
793,Edible Packaging,Edible Rice Straw,33.3,6.738,0.0,5.4,Not Sustainable,Low-Grade
421,Belts,Cork Belt,73.4,1.405,90.4,10.26,Moderate,Coated
200,Cotton Pads,Bamboo Cotton Pads,83.4,0.906,64.5,3.89,Moderate,Recycled
775,Scale (Ruler),Wooden Ruler,75.3,1.886,77.9,22.83,Moderate,Low-Grade
704,Crayons,Soy Crayons,38.8,0.463,92.5,1.23,Moderate,Recycled
985,Stool,Solid Wood Stool,64.3,2.109,82.9,21.89,Moderate,Standard
658,Car Cleaning Cloth,Microfiber Cloth,11.9,4.526,0.0,2.5,Not Sustainable,Premium
129,Toothbrushes,Plastic Toothbrush,30.1,4.053,0.0,4.27,Not Sustainable,Premium
52,Bags,Cotton Bag,85.9,1.888,73.2,2.44,Moderate,Low-Grade
87,Plates,Plastic Plate,31.9,5.094,1.2,1.24,Not Sustainable,Recycled
1108,Pan,Cast Iron Pan,35.8,3.364,0.0,2.67,Not Sustainable,Standard
999,Spoon,Plastic Spoon,56.2,5.767,2.1,2.93,Not Sustainable,Recycled
1015,Spoon,Bamboo Spoon,85.2,0.342,82.1,2.51,Moderate,Recycled
791,Edible Packaging,Edible Spoon,16.4,4.296,0.0,3.8,Not Sustainable,Premium
1012,Spoon,Bamboo Spoon,89.7,0.25,68.5,2.81,Eco-Friendly,Coated
888,Reusable Straws,Plastic Straw,26.2,6.352,0.0,2.72,Not Sustainable,Low-Grade
605,Seedling Pots,Jiffy Peat Pot,36.9,0.882,56.7,6.87,Not Sustainable,Untreated
803,Edible Packaging,Edible Spoon,12.6,4.536,0.0,4.32,Not Sustainable,Untreated
842,Reusable Cups,Bamboo Cup,91.0,0.505,70.7,3.36,Moderate,Recycled
382,Phone Cases,Biodegradable Case,28.5,1.746,81.8,1.73,Not Sustainable,Low-Grade
395,Laptop Cooling Pads,Metal Cooling Stand,90.0,1.128,1.2,12.79,Moderate,Untreated
45,Bags,Polyester Bag,36.1,7.615,0.0,3.24,Not Sustainable,Coated
851,Reusable Cups,Bamboo Cup,90.3,0.781,59.1,2.96,Moderate,Recycled
271,Cutting Boards,Bamboo Cutting Board,95.0,0.292,86.6,2.83,Eco-Friendly,Untreated
362,Phone Cases,Silicone Case,11.7,1.469,0.0,15.09,Not Sustainable,Coated
773,Scale (Ruler),Metal Ruler,92.5,1.602,0.9,23.24,Moderate,Coated
480,Wallets,PU Leather Wallet,22.8,6.437,0.0,4.7,Not Sustainable,Untreated
1104,Pan,Aluminum Pan,85.2,3.723,0.0,14.01,Not Sustainable,Low-Grade
114,Brushes,Plastic Brush,47.9,5.099,0.0,3.26,Not Sustainable,Standard
524,Curtains,Polyester Curtains,43.6,4.313,0.6,3.54,Not Sustainable,Standard
1062,Comb,Plastic Comb,48.9,5.41,0.0,1.62,Not Sustainable,Untreated
991,Spoon,Bamboo Spoon,94.0,0.151,82.6,3.71,Eco-Friendly,Untreated
199,Cotton Pads,Organic Cotton Pads,78.2,3.612,51.4,1.87,Moderate,Recycled
232,Food Wraps,Beeswax Food Wrap,28.9,0.805,95.9,1.42,Moderate,Low-Grade
707,Crayons,Soy Crayons,13.3,0.744,97.3,2.27,Not Sustainable,Recycled
483,Wall Clocks,Plastic Wall Clock,25.2,6.045,0.2,0.99,Not Sustainable,Untreated
539,Curtains,Cotton Curtains,80.2,1.944,50.7,0.76,Moderate,Recycled
927,Baby Bottles,Silicone Baby Bottle,28.2,1.045,0.0,7.55,Not Sustainable,Standard
535,Curtains,Cotton Curtains,83.3,3.061,63.0,2.55,Moderate,Recycled
71,Plates,Bamboo Plate,89.1,0.506,74.4,4.29,Moderate,Premium
550,Rugs,Jute Rug,85.5,0.959,77.2,7.86,Moderate,Recycled
102,Brushes,Plastic Brush,48.7,7.746,0.0,3.94,Not Sustainable,Coated
597,Food Trays,Plastic Tray,40.8,8.19,0.0,0.81,Not Sustainable,Premium
381,Phone Cases,Hard Plastic Case,12.0,7.056,1.2,2.57,Not Sustainable,Coated
248,Coffee Filter,Paper Coffee Filter,92.9,1.577,90.4,1.53,Moderate,Low-Grade
975,Stool,Plastic Stool,54.0,6.705,2.9,0.31,Not Sustainable,Coated
494,Wall Clocks,Metal Wall Clock,88.2,2.19,0.0,17.82,Moderate,Coated
293,Cutting Boards,Wooden Cutting Board,93.5,2.496,77.0,22.87,Moderate,Standard
1041,Soap Holders,Bamboo Soap Dish,82.2,0.331,67.6,5.24,Moderate,Recycled
209,Cotton Pads,Bamboo Cotton Pads,88.4,0.49,82.8,6.88,Eco-Friendly,Untreated
635,Car Cleaning Cloth,Cotton Cloth,64.1,1.745,46.8,4.42,Not Sustainable,Recycled
866,Reusable Cups,Bamboo Cup,82.4,0.548,79.6,6.27,Moderate,Premium
505,Wall Clocks,Wooden Wall Clock,63.1,1.472,77.5,22.02,Moderate,Standard
741,Geometry Boxes,Metal Geometry Box,98.6,1.267,0.0,13.05,Moderate,Recycled
852,Reusable Cups,Plastic Cup,22.1,6.901,0.1,0.3,Not Sustainable,Standard
32,Bags,Jute Bag,85.9,0.746,78.2,5.1,Moderate,Standard
139,Toothbrushes,Bamboo Toothbrush,86.7,0.728,61.4,2.62,Moderate,Low-Grade
244,Coffee Filter,Stainless Steel Coffee Filter,90.7,1.862,0.0,17.49,Moderate,Recycled
278,Cutting Boards,Wooden Cutting Board,89.3,0.905,91.5,22.83,Eco-Friendly,Premium
320,Disposable Plates,Bagasse Plate,16.4,0.4,96.1,0.1,Moderate,Premium
454,Wallets,Cork Wallet,91.9,1.601,82.8,11.5,Moderate,Untreated
287,Cutting Boards,Wooden Cutting Board,82.9,1.036,76.9,21.27,Moderate,Low-Grade
1002,Spoon,Plastic Spoon,28.6,6.448,0.4,0.89,Not Sustainable,Low-Grade
110,Brushes,Wooden Brush,59.6,2.774,77.0,23.14,Moderate,Recycled
329,Disposable Plates,Bagasse Plate,37.5,0.704,90.5,0.1,Moderate,Low-Grade
334,Disposable Cups,Paper Cup,73.4,1.656,96.2,1.16,Moderate,Coated
590,Food Trays,Aluminum Tray,93.6,3.911,0.0,9.01,Not Sustainable,Coated
951,Suitcase,Aluminum Suitcase,91.7,4.003,0.0,5.17,Not Sustainable,Untreated
426,Belts,Leather Belt,32.1,11.717,19.4,4.68,Not Sustainable,Standard
366,Phone Cases,Hard Plastic Case,18.3,4.756,1.0,2.56,Not Sustainable,Premium
757,Scale (Ruler),Wooden Ruler,84.8,0.731,92.2,6.81,Moderate,Coated
942,Suitcase,Aluminum Suitcase,78.3,3.214,0.0,20.35,Not Sustainable,Premium
1008,Spoon,Plastic Spoon,19.1,3.078,0.1,0.56,Not Sustainable,Recycled
